EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM
1612519207066222497,IMBALANCE,"[37, 0]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519212168176506,BID_DEPTH,"[(99985, 8)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519212168176506,ASK_DEPTH,"[(100026, 100)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519212168176506,IMBALANCE,"[8, 100]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519279462105971,BID_DEPTH,"[(99983, 62)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519279462105971,ASK_DEPTH,"[(99984, 255)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519279462105971,IMBALANCE,"[62, 255]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519301682081278,BID_DEPTH,"[(99978, 322)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519301682081278,ASK_DEPTH,"[(99979, 322)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519301682081278,IMBALANCE,"[322, 322]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519327332054072,BID_DEPTH,"[(99982, 102)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519327332054072,ASK_DEPTH,"[(99983, 138)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519327332054072,IMBALANCE,"[102, 138]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519355097154064,BID_DEPTH,"[(99979, 62)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519355097154064,ASK_DEPTH,"[(99980, 200)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519355097154064,IMBALANCE,"[62, 200]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519360244791296,BID_DEPTH,"[(99979, 62)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519360244791296,ASK_DEPTH,"[(99980, 300)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519360244791296,IMBALANCE,"[62, 300]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519360244791296,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:02:40,ABM,200.0,Side.BID,262737.0,,,99980.0,False,False,False,False,
1612519360261272828,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:02:40,ABM,100.0,Side.BID,262737.0,99980.0,,99980.0,False,False,False,False,
1612519360261272828,HOLDINGS_UPDATED,,1105,MomentumAgent,2000.0,,,,,,,,,,,,,100.0
1612519360261272878,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:02:40,ABM,100.0,Side.BID,262737.0,99980.0,,99980.0,False,False,False,False,
1612519360261272878,HOLDINGS_UPDATED,,1105,MomentumAgent,-9996000.0,,,,,,,,,,,,,200.0
1612519388855138751,BID_DEPTH,"[(99979, 62)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519388855138751,ASK_DEPTH,"[(99980, 200)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519388855138751,IMBALANCE,"[62, 200]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519388855138751,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:03:08,ABM,100.0,Side.BID,262755.0,,,99980.0,False,False,False,False,
1612519388871620283,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:03:08,ABM,100.0,Side.BID,262755.0,99980.0,,99980.0,False,False,False,False,
1612519388871620283,HOLDINGS_UPDATED,,1105,MomentumAgent,-19994000.0,,,,,,,,,,,,,300.0
1612519503851115101,BID_DEPTH,"[(99969, 1)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519503851115101,ASK_DEPTH,"[(99970, 68)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519503851115101,IMBALANCE,"[1, 68]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519503851115101,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:05:03,ABM,100.0,Side.BID,262851.0,,,99970.0,False,False,False,False,
1612519503867596633,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:03,ABM,68.0,Side.BID,262851.0,99970.0,,99970.0,False,False,False,False,
1612519503867596633,HOLDINGS_UPDATED,,1105,MomentumAgent,-26791960.0,,,,,,,,,,,,,368.0
1612519503867596683,ORDER_ACCEPTED,,1105,MomentumAgent,,2021-02-05 10:05:03,ABM,32.0,Side.BID,262851.0,,,99970.0,False,False,False,False,
1612519506627277299,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:03,ABM,32.0,Side.BID,262851.0,99970.0,,99970.0,False,False,False,False,
1612519506627277299,HOLDINGS_UPDATED,,1105,MomentumAgent,-29991000.0,,,,,,,,,,,,,400.0
1612519515428661486,BID_DEPTH,[],1105,MomentumAgent,,,,,,,,,,,,,,
1612519515428661486,ASK_DEPTH,"[(99941, 93)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519515428661486,IMBALANCE,"[0, 93]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519518347213395,BID_DEPTH,"[(99921, 200)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519518347213395,ASK_DEPTH,"[(99925, 100)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519518347213395,IMBALANCE,"[200, 100]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519518347213395,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:05:18,ABM,100.0,Side.BID,262863.0,,,99925.0,False,False,False,False,
1612519518363694927,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:18,ABM,100.0,Side.BID,262863.0,99925.0,,99925.0,False,False,False,False,
1612519518363694927,HOLDINGS_UPDATED,,1105,MomentumAgent,-39983500.0,,,,,,,,,,,,,500.0
1612519537237894836,BID_DEPTH,"[(99941, 470)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519537237894836,ASK_DEPTH,"[(99942, 132)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519537237894836,IMBALANCE,"[470, 132]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519537237894836,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:05:37,ABM,25.0,Side.BID,262879.0,,,99942.0,False,False,False,False,
1612519537254376368,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:37,ABM,25.0,Side.BID,262879.0,99942.0,,99942.0,False,False,False,False,
1612519537254376368,HOLDINGS_UPDATED,,1105,MomentumAgent,-42482050.0,,,,,,,,,,,,,525.0
1612519562508467960,BID_DEPTH,"[(99973, 43)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519562508467960,ASK_DEPTH,"[(99978, 18)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519562508467960,IMBALANCE,"[43, 18]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519562508467960,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:06:02,ABM,100.0,Side.BID,262909.0,,,99978.0,False,False,False,False,
1612519562524949492,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:06:02,ABM,18.0,Side.BID,262909.0,99978.0,,99978.0,False,False,False,False,
1612519562524949492,HOLDINGS_UPDATED,,1105,MomentumAgent,-44281654.0,,,,,,,,,,,,,543.0
1612519562524949542,ORDER_ACCEPTED,,1105,MomentumAgent,,2021-02-05 10:06:02,ABM,82.0,Side.BID,262909.0,,,99978.0,False,False,False,False,
1612519563945699906,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:06:02,ABM,82.0,Side.BID,262909.0,99978.0,,99978.0,False,False,False,False,
1612519563945699906,HOLDINGS_UPDATED,,1105,MomentumAgent,-52479850.0,,,,,,,,,,,,,625.0
1612519603217025426,BID_DEPTH,"[(99978, 189)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519603217025426,ASK_DEPTH,"[(99979, 207)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519603217025426,IMBALANCE,"[189, 207]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519603217025426,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:06:43,ABM,100.0,Side.BID,262953.0,,,99979.0,False,False,False,False,
1612519603233506958,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:06:43,ABM,7.0,Side.BID,262953.0,99979.0,,99979.0,False,False,False,False,
1612519603233506958,HOLDINGS_UPDATED,,1105,MomentumAgent,-53179703.0,,,,,,,,,,,,,632.0
1612519603233507008,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:06:43,ABM,93.0,Side.BID,262953.0,99979.0,,99979.0,False,False,False,False,
1612519603233507008,HOLDINGS_UPDATED,,1105,MomentumAgent,-62477750.0,,,,,,,,,,,,,725.0
1612519662438711968,BID_DEPTH,"[(99978, 108)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519662438711968,ASK_DEPTH,"[(99979, 237)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519662438711968,IMBALANCE,"[108, 237]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519662438711968,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:07:42,ABM,100.0,Side.BID,262988.0,,,99979.0,False,False,False,False,
1612519662455193500,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:07:42,ABM,100.0,Side.BID,262988.0,99979.0,,99979.0,False,False,False,False,
1612519662455193500,HOLDINGS_UPDATED,,1105,MomentumAgent,-72475650.0,,,,,,,,,,,,,825.0
1612519810658164135,BID_DEPTH,"[(99968, 10)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519810658164135,ASK_DEPTH,"[(99969, 372)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519810658164135,IMBALANCE,"[10, 372]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519810658164135,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:10:10,ABM,100.0,Side.BID,263124.0,,,99969.0,False,False,False,False,
1612519810674645667,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:10:10,ABM,100.0,Side.BID,263124.0,99969.0,,99969.0,False,False,False,False,
1612519810674645667,HOLDINGS_UPDATED,,1105,MomentumAgent,-82472550.0,,,,,,,,,,,,,925.0
1612519826513654418,BID_DEPTH,"[(99970, 59)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519826513654418,ASK_DEPTH,"[(99971, 242)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519826513654418,IMBALANCE,"[59, 242]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519826513654418,ORDER_SUBMITTED,,1105,MomentumAgent,,2021-02-05 10:10:26,ABM,100.0,Side.BID,263139.0,,,99971.0,False,False,False,False,
1612519826530135950,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:10:26,ABM,42.0,Side.BID,263139.0,99971.0,,99971.0,False,False,False,False,
1612519826530135950,HOLDINGS_UPDATED,,1105,MomentumAgent,-86671332.0,,,,,,,,,,,,,967.0
1612519826530136000,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:10:26,ABM,58.0,Side.BID,263139.0,99971.0,,99971.0,False,False,False,False,
1612519826530136000,HOLDINGS_UPDATED,,1105,MomentumAgent,-92469650.0,,,,,,,,,,,,,1025.0
1612519847226902769,BID_DEPTH,"[(99972, 176)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519847226902769,ASK_DEPTH,"[(99973, 320)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519847226902769,IMBALANCE,"[176, 320]",1105,MomentumAgent,,,,,,,,,,,,,,
