,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,order_fee,ABM,SubmittedOrders,PaidFees,spread
7,0,ORDER_EXECUTED,,491,NoiseAgent,,2021-02-05 09:10:37,ABM,90.0,Side.ASK,203.0,99995.0,,99995.0,False,False,False,False,0.0,,,,
10,1612516238388896749,ORDER_EXECUTED,,491,NoiseAgent,,2021-02-05 09:10:37,ABM,10.0,Side.ASK,203.0,99995.0,,99995.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,500,NoiseAgent,,2021-02-05 09:05:42,ABM,100.0,Side.ASK,106.0,,,99990.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,500,NoiseAgent,,2021-02-05 09:05:42,ABM,50.0,Side.ASK,106.0,99990.0,,99990.0,False,False,False,False,0.0,,,,
9,0,ORDER_EXECUTED,,500,NoiseAgent,,2021-02-05 09:05:42,ABM,11.0,Side.ASK,106.0,99990.0,,99990.0,False,False,False,False,0.0,,,,
11,0,ORDER_EXECUTED,,500,NoiseAgent,,2021-02-05 09:05:42,ABM,39.0,Side.ASK,106.0,99990.0,,99990.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,502,NoiseAgent,,2021-02-05 09:47:23,ABM,100.0,Side.BID,1216.0,,,99935.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,502,NoiseAgent,,2021-02-05 09:47:23,ABM,48.0,Side.BID,1216.0,99935.0,,99935.0,False,False,False,False,0.0,,,,
10,1612518445043162816,ORDER_EXECUTED,,502,NoiseAgent,,2021-02-05 09:47:23,ABM,52.0,Side.BID,1216.0,99935.0,,99935.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,505,NoiseAgent,,2021-02-05 09:31:46,ABM,100.0,Side.BID,655.0,,,99973.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,505,NoiseAgent,,2021-02-05 09:31:46,ABM,100.0,Side.BID,655.0,99973.0,,99973.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,510,NoiseAgent,,2021-02-05 09:25:42,ABM,100.0,Side.ASK,524.0,,,99981.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,510,NoiseAgent,,2021-02-05 09:25:42,ABM,7.0,Side.ASK,524.0,99981.0,,99981.0,False,False,False,False,0.0,,,,
9,0,ORDER_EXECUTED,,510,NoiseAgent,,2021-02-05 09:25:42,ABM,93.0,Side.ASK,524.0,99981.0,,99981.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,512,NoiseAgent,,2021-02-05 09:55:08,ABM,100.0,Side.ASK,1404.0,,,99931.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,512,NoiseAgent,,2021-02-05 09:55:08,ABM,68.0,Side.ASK,1404.0,99931.0,,99931.0,False,False,False,False,0.0,,,,
