,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,fee,ABM
9,1612530000007772350,ENDING_CASH,10000000,74,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,75,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000003289743,ENDING_CASH,10000000,75,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,76,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000003181062,ENDING_CASH,10000000,76,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,77,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,77,NoiseAgent,10200024.0,,,,,,,,,,,,,,-2.0
12,0,HOLDINGS_UPDATED,,77,NoiseAgent,20001200.0,,,,,,,,,,,,,,-100.0
17,1612530000004605887,ENDING_CASH,10000600,77,NoiseAgent,10000600.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,78,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000008166783,ENDING_CASH,10000000,78,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,79,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000006217269,ENDING_CASH,10000000,79,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,80,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000006125199,ENDING_CASH,10000000,80,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,81,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000001270395,ENDING_CASH,10000000,81,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,82,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000005313670,ENDING_CASH,10000000,82,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,83,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,83,NoiseAgent,2097946.0,,,,,,,,,,,,,,79.0
13,1612521349142254620,HOLDINGS_UPDATED,,83,NoiseAgent,-2600.0,,,,,,,,,,,,,,100.0
18,1612530000000263586,ENDING_CASH,9998000,83,NoiseAgent,9998000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,84,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,84,NoiseAgent,-3200.0,,,,,,,,,,,,,,100.0
14,1612530000006843586,ENDING_CASH,9997400,84,NoiseAgent,9997400.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,85,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,85,NoiseAgent,10200024.0,,,,,,,,,,,,,,-2.0
13,1612518538601450356,HOLDINGS_UPDATED,,85,NoiseAgent,20001200.0,,,,,,,,,,,,,,-100.0
18,1612530000002291809,ENDING_CASH,10000600,85,NoiseAgent,10000600.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,86,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000003683630,ENDING_CASH,10000000,86,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,87,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,87,NoiseAgent,9399832.0,,,,,,,,,,,,,,6.0
14,1612530000001233060,ENDING_CASH,9999868,87,NoiseAgent,9999868.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,88,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000001100229,ENDING_CASH,10000000,88,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,89,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002655328,ENDING_CASH,10000000,89,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,90,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,90,NoiseAgent,403360.0,,,,,,,,,,,,,,96.0
13,1612519275761982442,HOLDINGS_UPDATED,,90,NoiseAgent,3500.0,,,,,,,,,,,,,,100.0
18,1612530000003221956,ENDING_CASH,10004100,90,NoiseAgent,10004100.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,91,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000003547985,ENDING_CASH,10000000,91,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,92,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000007786954,ENDING_CASH,10000000,92,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,93,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,93,NoiseAgent,18298838.0,,,,,,,,,,,,,,-83.0
13,1612520824786825491,HOLDINGS_UPDATED,,93,NoiseAgent,27197592.0,,,,,,,,,,,,,,-172.0
18,1612530000001549034,ENDING_CASH,9996560,93,NoiseAgent,9996560.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,94,NoiseAgent,10000000.0,,,,,,,,,,,,,,
