,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM,cash,holdings,mark_to_marked_holdings,total_depot_value,profit
942,1612520459081575306,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:20:59,ABM,26.0,Side.ASK,20165.0,99888.0,,99888.0,False,False,False,False,,,,,,
955,1612520505380498174,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:21:45,ABM,17.0,Side.ASK,20210.0,99897.0,,99897.0,False,False,False,False,,,,,,
964,1612520505380498224,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:21:45,ABM,83.0,Side.ASK,20210.0,99897.0,,99897.0,False,False,False,False,,,,,,
977,1612520542916796263,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:22:22,ABM,63.0,Side.ASK,20323.0,99896.0,,99896.0,False,False,False,False,,,,,,
986,1612520542916796313,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:22:22,ABM,37.0,Side.ASK,20323.0,99896.0,,99896.0,False,False,False,False,,,,,,
999,1612520700319013262,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:25:00,ABM,98.0,Side.ASK,20508.0,99911.0,,99911.0,False,False,False,False,,,,,,
1008,1612520700319013312,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:25:00,ABM,2.0,Side.ASK,20508.0,99911.0,,99911.0,False,False,False,False,,,,,,
1021,1612520765140732261,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:26:05,ABM,57.0,Side.ASK,20620.0,99892.0,,99892.0,False,False,False,False,,,,,,
1031,0,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:26:05,ABM,43.0,Side.ASK,20620.0,99892.0,,99892.0,False,False,False,False,,,,,,
1044,1612520785339191016,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:26:25,ABM,42.0,Side.ASK,20648.0,99893.0,,99893.0,False,False,False,False,,,,,,
1053,1612520785339191066,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:26:25,ABM,35.0,Side.ASK,20648.0,99893.0,,99893.0,False,False,False,False,,,,,,
1066,1612520791588054108,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:26:31,ABM,100.0,Side.ASK,20656.0,99894.0,,99894.0,False,False,False,False,,,,,,
1079,1612520839606497300,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:27:19,ABM,86.0,Side.ASK,20734.0,99897.0,,99897.0,False,False,False,False,,,,,,
1088,1612520839606497350,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:27:19,ABM,14.0,Side.ASK,20734.0,99897.0,,99897.0,False,False,False,False,,,,,,
1101,1612520912995709594,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:28:32,ABM,10.0,Side.ASK,20825.0,99898.0,,99898.0,False,False,False,False,,,,,,
1114,1612520941295029435,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:29:01,ABM,100.0,Side.ASK,20856.0,99899.0,,99899.0,False,False,False,False,,,,,,
1127,1612520974038784185,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:29:34,ABM,8.0,Side.ASK,20927.0,99897.0,,99897.0,False,False,False,False,,,,,,
1140,1612521055202513689,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:30:55,ABM,100.0,Side.ASK,21010.0,99894.0,,99894.0,False,False,False,False,,,,,,
1150,1612521062268881477,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:30:55,ABM,100.0,Side.ASK,21010.0,99894.0,,99894.0,False,False,False,False,,,,,,
