Column1,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,cash2,holdings,mark_to_marked_holdings,total_depot_value,profit
1763,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,824981378,"{'CASH': 757693713, 'ABM': -7490}",10288723,-814692655,288723
1772,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,826479863,"{'CASH': 757693713, 'ABM': -7490}",10288693,-816191170,288693
1785,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,832873399,"{'CASH': 757693713, 'ABM': -7490}",10296799,-822576600,296799
1794,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,833173096,"{'CASH': 757693713, 'ABM': -7490}",10296796,-822876300,296796
1808,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,841064406,"{'CASH': 757693713, 'ABM': -7490}",10379166,-830685240,379166
1818,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,843162096,"{'CASH': 757693713, 'ABM': -7490}",10379166,-832782930,379166
1827,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,846458763,"{'CASH': 757693713, 'ABM': -7490}",10379463,-836079300,379463
1836,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,856449063,"{'CASH': 757693713, 'ABM': -7490}",10380763,-846068300,380763
1849,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,866439263,"{'CASH': 757693713, 'ABM': -7490}",10270553,-856168710,270553
1858,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,875730242,"{'CASH': 757693713, 'ABM': -7490}",10270553,-865459689,270553
1871,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,883322718,"{'CASH': 757693713, 'ABM': -7490}",10287879,-873034839,287879
1881,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,885720342,"{'CASH': 757693713, 'ABM': -7490}",10287879,-875432463,287879
1894,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,888117966,"{'CASH': 757693713, 'ABM': -7490}",10279092,-877838874,279092
1903,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,895710442,"{'CASH': 757693713, 'ABM': -7490}",10279016,-885431426,279016
1916,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,903103042,"{'CASH': 757693713, 'ABM': -7490}",10296742,-892806300,296742
1925,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,905700442,"{'CASH': 757693713, 'ABM': -7490}",10296742,-895403700,296742
